color_index,color_rgb,mean_response,v_index,L,a,b,C,H,r_rgb,g_rgb,b_rgb,r255,g255,b255,color_hex
0,#2f6ef6,0.045657895,V1,50,28.891,-73.589,79.05713631,291.4349439,0.18536,0.43139,0.96497,47.2668,110.00445,246.06735,#2f6ef6
1,#3518ad,0.052171053,V2,25,53.857,-72.28,90.13864237,306.6903925,0.20878,0.093277,0.67755,53.2389,23.785635,172.77525,#3518ad
2,#8558f4,0.120789474,V3,50,53.857,-72.28,90.13864237,306.6903925,0.52107,0.34328,0.95741,132.87285,87.5364,244.13955,#8558f4
3,#b62ef2,0.077039474,V4,50,78.822,-70.972,106.0656988,317.9998585,0.71554,0.18209,0.95015,182.4627,46.43295,242.28825,#b62ef2
4,#077acc,0.073355263,V5,50,2.6168,-49.931,49.99952403,273.0000311,0.02815,0.47995,0.80007,7.17825,122.38725,204.01785,#077acc
5,#2e3086,0.073552632,V6,25,27.583,-48.623,55.9018606,299.565504,0.17927,0.18835,0.5261,45.71385,48.02925,134.1555,#2e3086
6,#746bca,0.101184211,V7,50,27.583,-48.623,55.9018606,299.565504,0.45531,0.41794,0.79284,116.10405,106.5747,202.1742,#746bca
7,#600b84,0.101710526,V8,25,52.548,-47.315,70.71068893,317.9996578,0.37742,0.042633,0.5195,96.2421,10.871415,132.4725,#600b84
8,#a553c8,0.097631579,V9,50,52.548,-47.315,70.71068893,317.9996578,0.64719,0.32647,0.78598,165.03345,83.24985,200.4249,#a553c8
9,#cd26c7,0.083157895,V10,50,77.514,-46.006,90.13862786,329.3100813,0.80294,0.14735,0.7795,204.7497,37.57425,198.7725,#cd26c7
10,#4dc7e8,0.109736842,V11,75,-23.657,-26.274,35.3550099,228.00026,0.30294,0.78057,0.90983,77.2497,199.04535,232.00665,#4dc7e8
11,#1c3d61,0.090394737,V12,25,1.3084,-24.966,25.00026133,272.9999711,0.11078,0.23798,0.38006,28.2489,60.6849,96.9153,#1c3d61
12,#5e78a1,0.090526316,V13,50,1.3084,-24.966,25.00026133,272.9999711,0.36676,0.47151,0.63164,93.5238,120.23505,161.0682,#5e78a1
13,#a0bae6,0.071381579,V14,75,1.3084,-24.966,25.00026133,272.9999711,0.62755,0.72906,0.90271,160.02525,185.9103,230.19105,#a0bae6
14,#512d5f,0.114473684,V15,25,26.274,-23.657,35.3550099,318.00026,0.31571,0.17533,0.37401,80.50605,44.70915,95.37255,#512d5f
15,#90689f,0.123092105,V16,50,26.274,-23.657,35.3550099,318.00026,0.56583,0.4087,0.62522,144.28665,104.2185,159.4311,#90689f
16,#d5a9e4,0.122960526,V17,75,26.274,-23.657,35.3550099,318.00026,0.83493,0.66423,0.89597,212.90715,169.37865,228.47235,#d5a9e4
17,#72005e,0.14625,V18,25,51.24,-22.349,55.90183719,336.4349439,0.44844,0.0010157,0.36856,114.3522,0.2590035,93.9828,#72005e
18,#b8509e,0.157105263,V19,50,51.24,-22.349,55.90183719,336.4349439,0.72068,0.31508,0.61928,183.7734,80.3454,157.9164,#b8509e
19,#db1f9d,0.082960526,V20,50,76.206,-21.041,79.05743556,344.5648054,0.85795,0.12084,0.61389,218.77725,30.8142,156.54195,#db1f9d
20,#39f6e0,0.136118421,V21,88,-49.931,-2.6168,49.99952403,183.0000311,0.22415,0.96405,0.87881,57.15825,245.83275,224.09655,#39f6e0
21,#3b8378,0.46,V22,50,-24.966,-1.3084,25.00026133,182.9999711,0.23228,0.51203,0.47224,59.2314,130.56765,120.4212,#3b8378
22,#7ec6ba,0.147697368,V23,75,-24.966,-1.3084,25.00026133,182.9999711,0.49553,0.7754,0.73022,126.36015,197.727,186.2061,#7ec6ba
23,#a2eade,0.178092105,V24,88,-24.966,-1.3084,25.00026133,182.9999711,0.63541,0.91934,0.87189,162.02955,234.4317,222.33195,#a2eade
24,#000000,0.050328947,V25,0,0,0,0,0,0,0,0,0,0,0,#000000
25,#3b3b3b,0.096184211,V26,25,0,0,0,0,0.23251,0.23251,0.23251,59.29005,59.29005,59.29005,#3b3b3b
26,#777777,0.125789474,V27,50,0,0,0,0,0.46633,0.46633,0.46633,118.91415,118.91415,118.91415,#777777
27,#b9b9b9,0.078421053,V28,75,0,0,0,0,0.7239,0.7239,0.7239,184.5945,184.5945,184.5945,#b9b9b9
28,#ffffff,0.081052632,V29,100,0,0,0,0,1,1,1,255,255,255,#ffffff
29,#dddddd,0.098815789,V30,88,0,0,0,0,0.86539,0.86539,0.86539,220.67445,220.67445,220.67445,#dddddd
30,#5e2b3a,0.290394737,V31,25,24.966,1.3084,25.00026133,2.999971123,0.36814,0.16901,0.22803,93.8757,43.09755,58.14765,#5e2b3a
31,#a06776,0.221052632,V32,50,24.966,1.3084,25.00026133,2.999971123,0.62657,0.4033,0.46106,159.77535,102.8415,117.5703,#a06776
32,#e6a8b7,0.171118421,V33,75,24.966,1.3084,25.00026133,2.999971123,0.90215,0.65899,0.71809,230.04825,168.04245,183.11295,#e6a8b7
33,#c34f74,0.178026316,V34,50,49.931,2.6168,49.99952403,3.000031095,0.76433,0.30881,0.45651,194.90415,78.74655,116.41005,#c34f74
34,#e31b73,0.101513158,V35,50,74.897,3.9252,74.99978536,3.000011104,0.89143,0.10584,0.45276,227.31465,26.9892,115.4538,#e31b73
35,#4bcf8e,0.521907895,V36,75,-51.24,22.349,55.90183719,156.4349439,0.29264,0.81366,0.55522,74.6232,207.4833,141.5811,#4bcf8e
36,#73f5b0,0.397434211,V37,88,-51.24,22.349,55.90183719,156.4349439,0.45168,0.96053,0.69143,115.1784,244.93515,176.31465,#73f5b0
37,#184415,0.957763158,V38,25,-26.274,23.657,35.3550099,138.00026,0.093053,0.26787,0.081612,23.728515,68.30685,20.81106,#184415
38,#55824d,0.818026316,V39,50,-26.274,23.657,35.3550099,138.00026,0.33427,0.50935,0.30369,85.23885,129.88425,77.44095,#55824d
39,#96c58c,0.555789474,V40,75,-26.274,23.657,35.3550099,138.00026,0.58834,0.77224,0.54935,150.0267,196.9212,140.08425,#96c58c
40,#baeaaf,0.465986842,V41,88,-26.274,23.657,35.3550099,138.00026,0.72747,0.91598,0.68535,185.50485,233.5749,174.76425,#baeaaf
41,#443b14,0.653355263,V42,25,-1.3084,24.966,25.00026133,92.99997112,0.26859,0.23099,0.078708,68.49045,58.90245,20.07054,#443b14
42,#83764c,0.527236842,V43,50,-1.3084,24.966,25.00026133,92.99997112,0.51566,0.46391,0.29927,131.4933,118.29705,76.31385,#83764c
43,#c7b88b,0.295131579,V44,75,-1.3084,24.966,25.00026133,92.99997112,0.78226,0.72092,0.54415,199.4763,183.8346,138.75825,#c7b88b
44,#eddcad,0.258815789,V45,88,-1.3084,24.966,25.00026133,92.99997112,0.92752,0.86218,0.67984,236.5176,219.8559,173.3592,#eddcad
45,#632b14,0.510394737,V46,25,23.657,26.274,35.3550099,48.00025997,0.38773,0.16814,0.078494,98.87115,42.8757,20.01597,#632b14
46,#a8664b,0.4825,V47,50,23.657,26.274,35.3550099,48.00025997,0.65938,0.40118,0.29597,168.1419,102.3009,75.47235,#a8664b
47,#f1a78a,0.196644737,V48,75,23.657,26.274,35.3550099,48.00025997,0.94491,0.65619,0.53969,240.95205,167.32845,137.62095,#f1a78a
48,#c94e4b,0.330723684,V49,50,48.623,27.583,55.9018606,29.56550403,0.78826,0.307,0.2939,201.0063,78.285,74.9445,#c94e4b
49,#e81a4b,0.148552632,V50,50,73.589,28.891,79.05713631,21.43494393,0.90961,0.10388,0.29318,231.95055,26.4894,74.7609,#e81a4b
50,#0e8a19,0.930592105,V51,50,-52.548,47.315,70.71068893,137.9996578,0.054615,0.54224,0.099689,13.926825,138.2712,25.420695,#0e8a19
51,#67cf5c,0.775460526,V52,75,-52.548,47.315,70.71068893,137.9996578,0.40222,0.81194,0.36144,102.5661,207.0447,92.1672,#67cf5c
52,#8cf47e,0.635,V53,88,-52.548,47.315,70.71068893,137.9996578,0.54989,0.95852,0.49572,140.22195,244.4226,126.4086,#8cf47e
53,#608218,0.874013158,V54,50,-27.583,48.623,55.9018606,119.565504,0.37476,0.50866,0.096059,95.5638,129.7083,24.495045,#608218
54,#a3c55b,0.671710526,V55,75,-27.583,48.623,55.9018606,119.565504,0.63947,0.77079,0.35693,163.06485,196.55145,91.01715,#a3c55b
55,#c8e97d,0.476447368,V56,88,-27.583,48.623,55.9018606,119.565504,0.78297,0.91421,0.49082,199.65735,233.12355,125.1591,#c8e97d
56,#897618,0.592039474,V57,50,-2.6168,49.931,49.99952403,93.0000311,0.53807,0.4637,0.095726,137.20785,118.2435,24.41013,#897618
57,#d0b85a,0.500592105,V58,75,-2.6168,49.931,49.99952403,93.0000311,0.81654,0.7198,0.35358,208.2177,183.549,90.1629,#d0b85a
58,#f7db7c,0.380789474,V59,88,-2.6168,49.931,49.99952403,93.0000311,0.96685,0.86069,0.48682,246.54675,219.47595,124.1391,#f7db7c
59,#ac6619,0.549539474,V60,50,22.349,51.24,55.90183719,66.43494393,0.67414,0.40164,0.098965,171.9057,102.4182,25.236075,#ac6619
60,#f7a75a,0.41,V61,75,22.349,51.24,55.90183719,66.43494393,0.97029,0.65547,0.35149,247.42395,167.14485,89.62995,#f7a75a
61,#cc4f1b,0.517828947,V62,50,47.315,52.548,70.71068893,47.99965781,0.79852,0.30871,0.10571,203.6226,78.72105,26.95605,#cc4f1b
62,#ea1d1d,0.271315789,V63,50,72.28,53.857,90.13864237,36.69039245,0.91683,0.11258,0.11559,233.79165,28.7079,29.47545,#ea1d1d
63,#3efe44,0.682302632,V64,88,-78.822,70.972,106.0656988,137.9998585,0.24405,0.99448,0.26544,62.23275,253.5924,67.6872,#3efe44
64,#73cf10,0.761710526,V65,75,-53.857,72.28,90.13864237,126.6903925,0.45104,0.81154,0.061681,115.0152,206.9427,15.728655,#73cf10
65,#9af443,0.616710526,V66,88,-53.857,72.28,90.13864237,126.6903925,0.60202,0.9578,0.2609,153.5151,244.239,66.5295,#9af443
66,#aac510,0.634407895,V67,75,-28.891,73.589,79.05713631,111.4349439,0.66567,0.77075,0.06092,169.74585,196.54125,15.5346,#aac510
67,#d0e942,0.516184211,V68,88,-28.891,73.589,79.05713631,111.4349439,0.815,0.9138,0.25817,207.825,233.019,65.83335,#d0e942
68,#d5b811,0.521578947,V69,75,-3.9252,74.897,74.99978536,93.0000111,0.83409,0.72019,0.066708,212.69295,183.64845,17.01054,#d5b811
69,#fcdb42,0.492105263,V70,88,-3.9252,74.897,74.99978536,93.0000111,0.98973,0.86065,0.25739,252.38115,219.46575,65.63445,#fcdb42
70,#fba714,0.483815789,V71,75,21.041,76.206,79.05743556,74.56480543,0.9829,0.65643,0.078187,250.6395,167.38965,19.937685,#fba714
